Campaign,Campaign Daily Budget,Campaign Status,Ad Group,Max CPC,Ad Group Status,Keyword,Criterion Type,Final URL
TL - Yetiskin Programlar,330,Paused,1A English Drama Lab,30,Enabled,ingilizce drama istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-lab
TL - Yetiskin Programlar,330,Paused,1A English Drama Lab,30,Enabled,ingilizce drama kursu,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-lab
TL - Yetiskin Programlar,330,Paused,1A English Drama Lab,30,Enabled,yetişkinler için ingilizce drama,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-lab
TL - Yetiskin Programlar,330,Paused,1A English Drama Lab,30,Enabled,ingilizce konuşma kulübü istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-lab
TL - Yetiskin Programlar,330,Paused,1A English Drama Lab,30,Enabled,ingilizce konuşma pratiği istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-lab
TL - Yetiskin Programlar,330,Paused,1A English Drama Lab,30,Enabled,ingilizce doğaçlama atölyesi,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-lab
TL - Yetiskin Programlar,330,Paused,1A English Drama Lab,30,Enabled,ingilizce tiyatro istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-lab
TL - Yetiskin Programlar,330,Paused,1A English Drama Lab,30,Enabled,english drama istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-lab
TL - Yetiskin Programlar,330,Paused,1A English Drama Lab,30,Enabled,english drama classes,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-lab
TL - Yetiskin Programlar,330,Paused,1A English Drama Lab,30,Enabled,english speaking club istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-lab
TL - Yetiskin Programlar,330,Paused,1A English Drama Lab,30,Enabled,english conversation class istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-lab
TL - Yetiskin Programlar,330,Paused,1A English Drama Lab,30,Enabled,improv in english istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-lab
TL - Yetiskin Programlar,330,Paused,1A English Drama Lab,30,Enabled,ingilizce drama istanbul,Exact,https://www.technelabistanbul.com/atolyeler/english-drama-lab
TL - Yetiskin Programlar,330,Paused,1A English Drama Lab,30,Enabled,english drama istanbul,Exact,https://www.technelabistanbul.com/atolyeler/english-drama-lab
TL - Yetiskin Programlar,330,Paused,1B Techne Musical Lab,30,Enabled,müzikal tiyatro kursu istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/techne-musical-lab
TL - Yetiskin Programlar,330,Paused,1B Techne Musical Lab,30,Enabled,müzikal kursu istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/techne-musical-lab
TL - Yetiskin Programlar,330,Paused,1B Techne Musical Lab,30,Enabled,şan kursu istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/techne-musical-lab
TL - Yetiskin Programlar,330,Paused,1B Techne Musical Lab,30,Enabled,müzikal tiyatro eğitimi,Phrase,https://www.technelabistanbul.com/atolyeler/techne-musical-lab
TL - Yetiskin Programlar,330,Paused,1B Techne Musical Lab,30,Enabled,sahne sanatları kursu istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/techne-musical-lab
TL - Yetiskin Programlar,330,Paused,1B Techne Musical Lab,30,Enabled,müzikal atölyesi istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/techne-musical-lab
TL - Yetiskin Programlar,330,Paused,1B Techne Musical Lab,30,Enabled,kadıköy müzikal kursu,Phrase,https://www.technelabistanbul.com/atolyeler/techne-musical-lab
TL - Yetiskin Programlar,330,Paused,1B Techne Musical Lab,30,Enabled,müzikal tiyatro kursu istanbul,Exact,https://www.technelabistanbul.com/atolyeler/techne-musical-lab
TL - Yetiskin Programlar,330,Paused,1B Techne Musical Lab,30,Enabled,oyun çıkarma atölyesi,Phrase,https://www.technelabistanbul.com/atolyeler/techne-musical-lab
TL - Yetiskin Programlar,330,Paused,1B Techne Musical Lab,30,Enabled,oyun çıkartma atölyesi,Phrase,https://www.technelabistanbul.com/atolyeler/techne-musical-lab
TL - Yetiskin Programlar,330,Paused,1B Techne Musical Lab,30,Enabled,oyun çıkarma atölyesi istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/techne-musical-lab
TL - Yetiskin Programlar,330,Paused,1B Techne Musical Lab,30,Enabled,sahne oyunu atölyesi istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/techne-musical-lab
TL - Yetiskin Programlar,330,Paused,1C Broadway Musical Dance,30,Enabled,broadway dans kursu,Phrase,https://www.technelabistanbul.com/atolyeler/broadway-musical-dance
TL - Yetiskin Programlar,330,Paused,1C Broadway Musical Dance,30,Enabled,müzikal dans kursu istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/broadway-musical-dance
TL - Yetiskin Programlar,330,Paused,1C Broadway Musical Dance,30,Enabled,jazz dans kursu istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/broadway-musical-dance
TL - Yetiskin Programlar,330,Paused,1C Broadway Musical Dance,30,Enabled,theatre dance istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/broadway-musical-dance
