Campaign,Campaign Daily Budget,Campaign Status,Ad Group,Max CPC,Ad Group Status,Keyword,Criterion Type,Status,Final URL
TL - Yetiskin Programlar,120,Enabled,,,,,,,
TL - Youth Veli,60,Enabled,,,,,,,
TL - The Auteur Lab,,Paused,,,,,,,
TL - Techne Musical Lab,,Paused,,,,,,,
TL - English Drama Lab,,Paused,,,,,,,
TL - Broadway Musical Dance,,Paused,,,,,,,
TL - Yetiskin Programlar,,,1A English Drama Lab,,Enabled,ingilizce drama istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1A English Drama Lab,,Enabled,ingilizce drama kursu,Phrase,Paused,
TL - Yetiskin Programlar,,,1A English Drama Lab,,Enabled,yetişkinler için ingilizce drama,Phrase,Paused,
TL - Yetiskin Programlar,,,1A English Drama Lab,,Enabled,ingilizce konuşma kulübü istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1A English Drama Lab,,Enabled,ingilizce konuşma pratiği istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1A English Drama Lab,,Enabled,ingilizce doğaçlama atölyesi,Phrase,Paused,
TL - Yetiskin Programlar,,,1A English Drama Lab,,Enabled,ingilizce tiyatro istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1A English Drama Lab,,Enabled,english drama istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1A English Drama Lab,,Enabled,english drama classes,Phrase,Paused,
TL - Yetiskin Programlar,,,1A English Drama Lab,,Enabled,english speaking club istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1A English Drama Lab,,Enabled,english conversation class istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1A English Drama Lab,,Enabled,improv in english istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,müzikal tiyatro kursu istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,müzikal kursu istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,şan kursu istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,müzikal tiyatro eğitimi,Phrase,Paused,
TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,sahne sanatları kursu istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,müzikal atölyesi istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,kadıköy müzikal kursu,Phrase,Paused,
TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,müzikal tiyatro kursu istanbul,Exact,Paused,
TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,oyun çıkarma atölyesi,Phrase,Paused,
TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,oyun çıkartma atölyesi,Phrase,Paused,
TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,oyun çıkarma atölyesi istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,sahne oyunu atölyesi istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1C Broadway Musical Dance,,Enabled,broadway dans kursu,Phrase,Paused,
TL - Yetiskin Programlar,,,1C Broadway Musical Dance,,Enabled,müzikal dans kursu istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1C Broadway Musical Dance,,Enabled,jazz dans kursu istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1C Broadway Musical Dance,,Enabled,theatre dance istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1C Broadway Musical Dance,,Enabled,dans kursu kadıköy,Phrase,Paused,
TL - Yetiskin Programlar,,,1C Broadway Musical Dance,,Enabled,kadıköy dans atölyesi,Phrase,Paused,
TL - Yetiskin Programlar,,,1C Broadway Musical Dance,,Enabled,çocuk dans kursu kadıköy,Phrase,Paused,
TL - Yetiskin Programlar,,,1C Broadway Musical Dance,,Enabled,gençler için dans kursu istanbul,Phrase,Paused,
TL - Yetiskin Programlar,,,1C Broadway Musical Dance,,Enabled,çocuk müzikal kursu istanbul,Phrase,Paused,
