Reklam grubu,RSA,Tema,Alan,Metin,Karakter
MÜZİKAL,RSA 1-A,Kategori,Başlık 1,Techne Musical Lab,18
MÜZİKAL,RSA 1-A,Kategori,Başlık 2,Müzikal Tiyatro Atölyesi,24
MÜZİKAL,RSA 1-A,Kategori,Başlık 3,Sekiz Ay · Kadıköy,18
MÜZİKAL,RSA 1-A,Kategori,Başlık 4,Haftada İki Gün Çalışma,23
MÜZİKAL,RSA 1-A,Kategori,Başlık 5,Drama · Şan · Sahne Dansı,25
MÜZİKAL,RSA 1-A,Kategori,Başlık 6,Sonunda Tam Prodüksiyon,23
MÜZİKAL,RSA 1-A,Kategori,Başlık 7,On İki Kişilik Grup,19
MÜZİKAL,RSA 1-A,Kategori,Başlık 8,28 Eylül Pazartesi,18
MÜZİKAL,RSA 1-A,Kategori,Başlık 9,Sahnelenen Bir Müzikal,22
MÜZİKAL,RSA 1-A,Kategori,Başlık 10,Şarkı Kolajı Değil,18
MÜZİKAL,RSA 1-A,Kategori,Başlık 11,15–55 Yaş · Kadıköy,19
MÜZİKAL,RSA 1-A,Kategori,Başlık 12,Kontenjan Sınırlı,17
MÜZİKAL,RSA 1-A,Kategori,Başlık 13,Yeni Sezon Başvuruları,22
MÜZİKAL,RSA 1-A,Kategori,Başlık 14,Erken Kayıt Dönemi,18
MÜZİKAL,RSA 1-A,Kategori,Başlık 15,Techne Lab İstanbul,19
MÜZİKAL,RSA 1-A,Kategori,Açıklama 1,"Sekiz ay boyunca haftada iki gün: drama, müzikal sahneleme ve bitirme performansı.",82
MÜZİKAL,RSA 1-A,Kategori,Açıklama 2,Kadıköy'de on iki kişilik grup. Sezon sonunda kostüm ve ışıkla tam bir prodüksiyon.,83
MÜZİKAL,RSA 1-A,Kategori,Açıklama 3,"Şarkı kolajı değil, sahnelenmiş bir müzikal. 28 Eylül Pazartesi başlıyor.",73
MÜZİKAL,RSA 1-A,Kategori,Açıklama 4,Köksal Ünal ve Sitare Bilge yürütücülüğünde. Takvim ve başvuru için sayfayı açın.,81
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Başlık 1,Kadıköy Müzikal Atölyesi,24
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Başlık 2,Müzikal Tiyatro · Kadıköy,25
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Başlık 3,Ayrılıkçeşme'ye 8 Dakika,24
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Başlık 4,Sekiz Aylık Sezon,17
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Başlık 5,Drama ve Müzikal Birlikte,25
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Başlık 6,Haftada İki Gün,15
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Başlık 7,Sezon Sonu Sahne,16
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Başlık 8,28 Eylül'de Başlıyor,20
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Başlık 9,Butik Kontenjan · 12 Kişi,25
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Başlık 10,Seyirci Önünde Final,20
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Başlık 11,Techne Musical Lab,18
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Başlık 12,"Kurs Değil, Tiyatro",19
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Başlık 13,Köksal Ünal & Sitare Bilge,26
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Başlık 14,Erken Kayıt Dönemi,18
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Başlık 15,Techne Lab İstanbul,19
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Açıklama 1,Kadıköy'de sekiz aylık müzikal sezonu. Ayrılıkçeşme metroya sekiz dakika yürüme.,80
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Açıklama 2,"Drama, müzikal sahneleme ve prodüksiyon tek programda. Haftada iki gün çalışma.",79
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Açıklama 3,"On iki kişilik grup. 28 Eylül Pazartesi başlıyor, kontenjan sınırlı.",68
MÜZİKAL,RSA 1-B,Semt (Kadıköy),Açıklama 4,"Kurs değil, üreten bir tiyatro şirketi. Takvim için sayfayı açın.",65
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Başlık 1,Müzikale Baştan Başlamak,24
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Başlık 2,Deneyim Şartı Yok,17
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Başlık 3,Sıfırdan Müzikal Çalışmak,25
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Başlık 4,Sekiz Ayda Sahneye,18
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Başlık 5,Drama · Şan · Dans,18
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Başlık 6,"Bir Sezon, Bir Prodüksiyon",26
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Başlık 7,On İki Kişilik Grup,19
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Başlık 8,Kadıköy · Haftada İki Gün,25
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Başlık 9,28 Eylül Pazartesi,18
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Başlık 10,Yıl Sonunda Seyirci Var,23
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Başlık 11,Şarkı Kolajı Değil,18
